first_name,last_name,player_number,team_name,player_position,home_runs
Lurette,de Clerc,44,Instituto Tecnológico de León,protocol,762
Stacy,Bestar,93,Gulf Medical University,Exclusive,796
Jere,Hebron,35,Lanzhou University,User-centric,465
Luz,Flanigan,25,Universidad Metropolitana Castro Carazo,zero administration,161
Bili,Pescud,54,Universite des Sciences Islamiques de Constantine,structure,195
Basilius,Ocklin,38,Johnson & Wales University,circuit,178
Leo,Trillo,43,Volgograd State Pedagogical University,hybrid,662
Livvy,Bonett,34,University of Cape Coast,migration,191
Roanna,Crumley,78,Point Park College,monitoring,46
Sada,Moloney,30,Kent State University,system-worthy,603
Merrel,Harriday,70,Universidad Autónoma de Baja California Sur,conglomeration,561
Fanchon,Stife,72,Rochester College,value-added,701
Koral,Pollack,79,Universidad Metropolitana Castro Carazo,capability,807
Laurice,Dagg,79,Liberty University,homogeneous,864
Elvira,Baskeyfied,79,University of Johannesburg,Operative,169
Leontyne,Misken,100,Kursk State Medical University,access,273
Syd,Gritton,8,Tennessee Temple University,3rd generation,313
Sada,Scotchmoor,44,"Yorker International University, Milano",hardware,123
Sterling,Comsty,1,United States Military Academy,web-enabled,338
Jose,Hubeaux,79,Ateneo de Naga University,dedicated,621
Drusi,Portt,6,"Islamic Azad University, Shahryar",incremental,180
Sinclair,Combes,85,Feati University,Multi-channelled,13
Todd,Guiness,28,Bangkok University,Grass-roots,886
Obadias,Carbery,53,National University of Kaohsiung,24 hour,728
Rees,Follen,49,University of Central Texas,attitude-oriented,87
Claretta,Wither,67,Hochschule für Gestaltung und Kunst Zürich,functionalities,869
Bartie,Openshaw,19,Kanazawa Medical University,mission-critical,979
Lyle,Setterington,19,International Business University of Beijing,disintermediate,6
Adriena,Latta,30,Kaunas Medical Academy,Right-sized,956
Rodney,Popworth,7,Miyazaki Prefectural Nursing University,web-enabled,225
Dex,Doy,36,College of Computer Science in Lodz,non-volatile,579
Gretel,Lynskey,17,Hagerstown Community College,Reactive,598
Tabatha,Cottesford,7,Ufuk University,moderator,822
Georgianne,Varfolomeev,9,Toyama University,Horizontal,996
Berne,Lawes,79,Moldova State University,attitude-oriented,849
Florrie,Evitts,52,Sonoda Women's University,Face to face,496
Karlik,McLleese,82,Americanos College,Profound,762
Kelly,Cluse,87,University of Piraeus,support,781
Gawain,Laville,33,Fachhochschule Hof,coherent,288
Ede,O'Noland,38,"Fachhochschule Rosenheim, Hochschule für Technik und Wirtschaft",bandwidth-monitored,924
Micah,Larcombe,99,Lampang College of Commerce and Technology,User-centric,478
Royce,Gumm,95,Instituto Superior de Paços de Brandão,local area network,179
Felizio,Myrtle,83,Lappeenranta University of Technology,focus group,447
Vivie,Twells,17,University of Peradeniya,pricing structure,204
Claudelle,Lewsie,82,"National Academy of Music ""Pantcho Vladigerov""",Down-sized,762
Tabb,Tremontana,14,University of Salerno,upward-trending,90
Leesa,Benitez,30,Keck Graduate Institute of Applied Life Sciences,contextually-based,211
Sol,Ferrolli,42,Universidad Abierta Interactiva,full-range,540
Farand,Barents,24,Misan University,methodical,55
Reamonn,Christie,59,Westminster College of Salt Lake City,flexibility,672
Cyndi,Conibear,20,Universität Hohenheim,archive,485
Andra,Rapo,45,"National American University, Albuquerque",hybrid,989
Jinny,Andrieux,2,Universidade Santa Úrsula,hierarchy,817
Faythe,Worg,24,Medical University Plovdiv,Re-engineered,345
Gabbey,Minards,65,Universidad Autónoma Metropolitana - Xochimilco,success,791
Joell,Parham,74,Kyushu University,Multi-layered,10
Wenonah,Lacy,61,Taganrog State Pedagogical Institute,Grass-roots,209
Trev,Pakenham,25,Université des Sciences et de la Technologie Houari Boumediène,conglomeration,945
Cybill,Hudspeth,77,West Coast University,4th generation,844
Gaylene,Cahani,77,"University of Toronto, Mississauga",coherent,611
Dominic,Portman,75,Kanpur University,Business-focused,940
Hewitt,Romme,86,Hanoi University of Civil Engineering,Profound,801
Ryley,Aasaf,89,Graduate University for Advanced Studies,core,436
Corny,Francioli,72,McMurry University,motivating,211
Billie,Chipp,10,Roberts Wesleyan College,zero tolerance,779
Cleveland,Mathie,63,Atlantic Union College,Devolved,651
